customer_id,product_id,stars,review 
542778,CBAYPDT0001,4,Exactly what I was looking for
807336,CBAYPDT0002,2,Not worth the price
770430,CBAYPDT0002,1,Quality feels cheap
525285,CBAYPDT0004,2,The bedframe broke during the first week. Never buying this again
532186,CBAYPDT0004,1,Not worth spending your money on this trash
372023,CBAYPDT0004,1,Didnt even last a month. Broke in the second week
836535,CBAYPDT0005,3,Clean and easy to wash and stay wrinkle free
372023,CBAYPDT0005,3,You get what you pay for.
696323,CBAYPDT0005,4,Looks amazing. Guests take notice of my bed sheets.
724131,CBAYPDT0007,3,The glasses look amazing but are very easy to break.
804227,CBAYPDT0008,4,Really compliments my other kitchen ware
685032,CBAYPDT0008,5,Does not break easily and designs are awesome!!! Will buy again.
495114,CBAYPDT00011,4,The spoons are sufficiently strong and do not loose shine
294197,CBAYPDT00012,5,Awesome!!!
731585,CBAYPDT00013,3,Not exactly for new york weather 
507465,CBAYPDT00013,3,It is okay! 
579944,CBAYPDT00013,4,Works perfectly for me!
610746,CBAYPDT00014,2,Makes a lot of noise -.-
715915,CBAYPDT00014,2,Does not work for even mid sized rooms.
807336,CBAYPDT00015,5,Better than its competitors
342623,CBAYPDT00015,5,I am a fan of this fan. Pun intended! :)
223825,CBAYPDT00019,5,Never had a problem
811096,CBAYPDT00019,4,Makes my hair silky and dandruff free
894432,CBAYPDT00019,4,So much for such a little price
710936,CBAYPDT00019,3,I wish I had bought this earlier
155199,CBAYPDT00021,5,Sturdy and easy to install.
663494,CBAYPDT00022,5,Smells so nice.
968675,CBAYPDT00022,4,I like the smell.
223825,CBAYPDT00022,4,Smells amazing
579944,CBAYPDT00022,3,I do not like this smell particulary. But it is not bad either.
884910,CBAYPDT00023,2,Too small and thin.
297857,CBAYPDT00023,1,Do not buy this product. The one at the costco is half the price and does a better job than this.
115679,CBAYPDT00025,5,Works amazing. The clothes have never been clearer.
542778,CBAYPDT00025,5,Works as mentioned.
140906,CBAYPDT00025,4,This is probably the best one out there
785242,CBAYPDT00025,5,Amazing!
542778,CBAYPDT00027,1,Had a lot of cuts while using this. Total waste of money
699506,CBAYPDT00027,4,Works just fine. 
181479,CBAYPDT00028,5,This is my go to place when it comes to buying mops.
190194,CBAYPDT00028,4,Better than swiffer.
280203,CBAYPDT00028,3,Works fine I guess.
